icd10_pcs_5char,approach,nhsn_category,intraperitoneal_proxy,source,rationale
0NNT0,0,,0,default_zero_unmatched,unmatched_default_0
0NP00,0,,0,default_zero_unmatched,unmatched_default_0
0NQ00,0,,0,default_zero_unmatched,unmatched_default_0
0NQBX,X,,0,default_zero_unmatched,unmatched_default_0
0NQC0,0,,0,default_zero_unmatched,unmatched_default_0
0NQCX,X,,0,default_zero_unmatched,unmatched_default_0
0NQMX,X,,0,default_zero_unmatched,unmatched_default_0
0NQQ0,0,,0,default_zero_unmatched,unmatched_default_0
0NQR0,0,,0,default_zero_unmatched,unmatched_default_0
0NQRX,X,,0,default_zero_unmatched,unmatched_default_0
0NQT0,0,,0,default_zero_unmatched,unmatched_default_0
0NQTX,X,,0,default_zero_unmatched,unmatched_default_0
0NRC0,0,,0,default_zero_unmatched,unmatched_default_0
0NRR0,0,,0,default_zero_unmatched,unmatched_default_0
0NS00,0,,0,default_zero_unmatched,unmatched_default_0
0NSB0,0,,0,default_zero_unmatched,unmatched_default_0
0NSB3,3,,0,default_zero_unmatched,unmatched_default_0
0NSBX,X,,0,default_zero_unmatched,unmatched_default_0
0NSC0,0,,0,default_zero_unmatched,unmatched_default_0
0NSCX,X,,0,default_zero_unmatched,unmatched_default_0
0NSM3,3,,0,default_zero_unmatched,unmatched_default_0
0NSN0,0,,0,default_zero_unmatched,unmatched_default_0
0NSN3,3,,0,default_zero_unmatched,unmatched_default_0
0NST0,0,,0,default_zero_unmatched,unmatched_default_0
0NST3,3,,0,default_zero_unmatched,unmatched_default_0
0NTC0,0,,0,default_zero_unmatched,unmatched_default_0
0NTQ0,0,,0,default_zero_unmatched,unmatched_default_0
0NTR0,0,,0,default_zero_unmatched,unmatched_default_0
0NX00,0,,0,default_zero_unmatched,unmatched_default_0
0P000,0,,0,default_zero_unmatched,unmatched_default_0
0P003,3,,0,default_zero_unmatched,unmatched_default_0
0P00X,X,,0,default_zero_unmatched,unmatched_default_0
0P0S0,0,,0,default_zero_unmatched,unmatched_default_0
0P100,0,,0,default_zero_unmatched,unmatched_default_0
0P1S0,0,,0,default_zero_unmatched,unmatched_default_0
0P200,0,,0,default_zero_unmatched,unmatched_default_0
0P300,0,,0,default_zero_unmatched,unmatched_default_0
0P400,0,,0,default_zero_unmatched,unmatched_default_0
0P600,0,,0,default_zero_unmatched,unmatched_default_0
0P800,0,,0,default_zero_unmatched,unmatched_default_0
0P80X,X,,0,default_zero_unmatched,unmatched_default_0
0P830,0,,0,default_zero_unmatched,unmatched_default_0
0P8C0,0,,0,default_zero_unmatched,unmatched_default_0
0P8CX,X,,0,default_zero_unmatched,unmatched_default_0
0P8D0,0,,0,default_zero_unmatched,unmatched_default_0
0P8H0,0,,0,default_zero_unmatched,unmatched_default_0
0P8J0,0,,0,default_zero_unmatched,unmatched_default_0
0P8N0,0,,0,default_zero_unmatched,unmatched_default_0
0P8T0,0,,0,default_zero_unmatched,unmatched_default_0
0P900,0,,0,default_zero_unmatched,unmatched_default_0
0P904,4,,0,default_zero_unmatched,unmatched_default_0
0P930,0,,0,default_zero_unmatched,unmatched_default_0
0P9C0,0,,0,default_zero_unmatched,unmatched_default_0
0PB00,0,,0,default_zero_unmatched,unmatched_default_0
0PB03,3,,0,default_zero_unmatched,unmatched_default_0
0PB04,4,,0,default_zero_unmatched,unmatched_default_0
0PB0X,X,,0,default_zero_unmatched,unmatched_default_0
0PB30,0,,0,default_zero_unmatched,unmatched_default_0
0PB3X,X,,0,default_zero_unmatched,unmatched_default_0
0PBC0,0,,0,default_zero_unmatched,unmatched_default_0
0PBD0,0,,0,default_zero_unmatched,unmatched_default_0
0PBH0,0,,0,default_zero_unmatched,unmatched_default_0
0PBHX,X,,0,default_zero_unmatched,unmatched_default_0
0PBJ0,0,,0,default_zero_unmatched,unmatched_default_0
0PBM0,0,,0,default_zero_unmatched,unmatched_default_0
0PBN0,0,,0,default_zero_unmatched,unmatched_default_0
0PBR0,0,,0,default_zero_unmatched,unmatched_default_0
0PBS0,0,,0,default_zero_unmatched,unmatched_default_0
0PBV0,0,,0,default_zero_unmatched,unmatched_default_0
0PC00,0,,0,default_zero_unmatched,unmatched_default_0
0PC0X,X,,0,default_zero_unmatched,unmatched_default_0
0PD00,0,THOR,0,cdc_nhsn_primary,THOR + approach 0 -> 0
0PD03,3,,0,default_zero_unmatched,unmatched_default_0
0PD0X,X,,0,default_zero_unmatched,unmatched_default_0
0PD3X,X,,0,default_zero_unmatched,unmatched_default_0
0PG00,0,,0,default_zero_unmatched,unmatched_default_0
0PG30,0,,0,default_zero_unmatched,unmatched_default_0
0PGR0,0,,0,default_zero_unmatched,unmatched_default_0
0PGS0,0,,0,default_zero_unmatched,unmatched_default_0
0PH00,0,,0,default_zero_unmatched,unmatched_default_0
0PH03,3,,0,default_zero_unmatched,unmatched_default_0
0PH04,4,,0,default_zero_unmatched,unmatched_default_0
0PH0X,X,,0,default_zero_unmatched,unmatched_default_0
0PH30,0,,0,default_zero_unmatched,unmatched_default_0
0PH90,0,,0,default_zero_unmatched,unmatched_default_0
